date,open,high,low,close
2023-12-06,7.1557,7.162,7.1544,7.1581
2023-12-05,7.1412,7.1496,7.1407,7.148
2023-12-04,7.127,7.1445,7.127,7.1435
2023-12-01,7.134,7.1467,7.1266,7.1275
2023-11-30,7.1389,7.1399,7.1183,7.135
2023-11-29,7.1165,7.133,7.1165,7.1245
2023-11-28,7.1532,7.1545,7.1345,7.1369
2023-11-27,7.142,7.1577,7.141,7.1528
2023-11-24,7.1428,7.1565,7.1405,7.1488
2023-11-23,7.1507,7.1539,7.1361,7.1485
2023-11-22,7.1356,7.1554,7.1356,7.155
2023-11-21,7.1394,7.1419,7.1256,7.14
2023-11-20,7.195,7.2111,7.163,7.1655
2023-11-17,7.2361,7.2491,7.1911,7.2135
2023-11-16,7.255,7.2612,7.2413,7.2422
2023-11-15,7.2554,7.2623,7.2333,7.2469
2023-11-14,7.2856,7.2955,7.2455,7.2512
2023-11-13,7.2891,7.298,7.2881,7.2885
2023-11-10,7.288,7.2937,7.285,7.285
2023-11-09,7.2742,7.2874,7.2742,7.284
2023-11-08,7.2745,7.2828,7.2657,7.2748
2023-11-07,7.276,7.286,7.2746,7.279
2023-11-06,7.284,7.2889,7.2655,7.2689
2023-11-03,7.3166,7.3189,7.2599,7.28
2023-11-02,7.315,7.3194,7.3113,7.3135
2023-11-01,7.3163,7.3201,7.3162,7.3173
2023-10-31,7.315,7.319,7.314,7.3166
2023-10-30,7.317,7.3187,7.3115,7.3115
2023-10-27,7.3102,7.319,7.3102,7.3171
2023-10-26,7.317,7.3198,7.3136,7.3158
2023-10-25,7.3051,7.3181,7.3051,7.3165
2023-10-24,7.3075,7.3132,7.2971,7.3095
2023-10-23,7.3188,7.3188,7.307,7.3071
2023-10-20,7.3115,7.3234,7.3068,7.3137
2023-10-19,7.3151,7.3186,7.3099,7.3099
2023-10-18,7.3105,7.318,7.2983,7.3151
2023-10-17,7.3105,7.318,7.3088,7.316
2023-10-16,7.3049,7.3148,7.2988,7.3108
2023-10-13,7.3019,7.3087,7.2958,7.3043
2023-10-12,7.2992,7.3059,7.2915,7.3059
2023-10-11,7.2948,7.3036,7.2899,7.299
2023-10-10,7.2911,7.2999,7.2753,7.2935
2023-10-09,7.301,7.3016,7.2828,7.2911
2023-10-06,7.301,7.302,7.301,7.301
2023-10-05,7.301,7.3025,7.301,7.301
2023-10-04,7.301,7.302,7.298,7.302
2023-10-03,7.301,7.302,7.301,7.301
2023-10-02,7.301,7.3015,7.301,7.3015
2023-09-29,7.301,7.303,7.2995,7.302
2023-09-28,7.3105,7.3164,7.294,7.2995
2023-09-27,7.2916,7.3137,7.2908,7.313
2023-09-26,7.311,7.3125,7.3012,7.3125
2023-09-25,7.298,7.3133,7.2949,7.3115
2023-09-22,7.2954,7.3066,7.2954,7.298
2023-09-21,7.2911,7.3108,7.2881,7.3066
2023-09-20,7.291,7.2995,7.2811,7.289
2023-09-19,7.288,7.3053,7.288,7.297
2023-09-18,7.282,7.2981,7.2744,7.292
2023-09-15,7.275,7.2825,7.246,7.276
2023-09-14,7.262,7.2839,7.262,7.2769
2023-09-13,7.285,7.2908,7.268,7.273
2023-09-12,7.2799,7.2963,7.2799,7.2911
2023-09-11,7.3315,7.3315,7.266,7.2884
2023-09-08,7.338,7.3498,7.3287,7.345
2023-09-07,7.3158,7.3299,7.3158,7.3297
2023-09-06,7.3194,7.3213,7.3023,7.3184
2023-09-05,7.277,7.309,7.277,7.3018
2023-09-04,7.2623,7.2755,7.2623,7.2755
2023-09-01,7.2424,7.2695,7.2424,7.2675
2023-08-31,7.2827,7.2913,7.25,7.2595
2023-08-30,7.2786,7.2937,7.277,7.289
2023-08-29,7.2855,7.2955,7.2791,7.2796
2023-08-28,7.2681,7.2953,7.268,7.29
2023-08-25,7.28,7.2934,7.2781,7.2865
2023-08-24,7.2757,7.2866,7.2688,7.279
2023-08-23,7.2841,7.2942,7.272,7.279
2023-08-22,7.2672,7.2993,7.2657,7.294
2023-08-21,7.2923,7.3157,7.2759,7.2825
