p,d,q,aic,bic
6,2,2,-6450.272861060804,-6404.015918037119
6,2,3,-6449.779682069911,-6398.383078710262
6,2,4,-6442.846752919404,-6386.31048922379
6,2,5,-6438.784068803423,-6377.108144771844
6,2,6,-6457.739919394572,-6390.924335027028
6,2,7,-6442.360558704705,-6370.4053140011965
6,2,8,-6442.1630178444175,-6365.068112804944
6,2,9,-6443.552898554118,-6361.318333178679
6,2,10,-6448.709821799015,-6361.3355960876115
7,0,1,-6456.983608533045,-6405.5711573095405
7,0,2,-6454.825161553605,-6398.271465207749
7,0,3,-6458.946106624167,-6397.251165155962
7,0,4,-6455.69068816318,-6388.854501572624
7,0,5,-6457.407662831321,-6385.430231118415
7,0,6,-6450.544252942902,-6373.425576107645
7,0,7,-6447.277265504664,-6365.017343547056
7,0,8,-6445.709261535632,-6358.308094455674
7,0,9,-6441.461495601583,-6348.919083399274
7,0,10,-6461.325788153213,-6363.6421308285535
7,1,1,-6466.767252093861,-6420.503174705951
7,1,2,-6464.823325821375,-6413.418795390364
7,1,3,-6462.889081208186,-6406.344097734073
7,1,4,-6467.006232023411,-6405.320795506197
7,1,5,-6467.361334598294,-6400.535445037979
7,1,6,-6464.604308986722,-6392.637966383306
7,1,7,-6465.560086698857,-6388.453291052339
7,1,8,-6469.927535335923,-6387.680286646304
7,1,9,-6464.530718352953,-6377.1430166202335
7,1,10,-6460.360307269678,-6367.832152493857
7,2,1,-6434.424854569036,-6388.167911545352
7,2,2,-6443.970864686066,-6392.574261326417
7,2,3,-6444.535616150207,-6387.999352454593
7,2,4,-6438.168189556407,-6376.492265524828
7,2,5,-6439.566847178738,-6372.751262811194
7,2,6,-6446.971477322414,-6375.016232618906
7,2,7,-6447.46673867237,-6370.371833632897
7,2,8,-6440.396948878047,-6358.162383502608
7,2,9,-6445.990142836132,-6358.615917124728
7,2,10,-6447.4838064015,-6354.969920354131
8,0,1,-6464.074076496856,-6407.520380151001
8,0,2,-6461.270407168611,-6399.575465700405
8,0,3,-6452.106290399778,-6385.270103809222
8,0,4,-6464.65984728268,-6392.682415569773
8,0,5,-6461.977211937188,-6384.858535101931
8,0,6,-6448.056934273534,-6365.797012315927
8,0,7,-6447.581622923908,-6360.18045584395
8,0,8,-6447.636860136174,-6355.094447933865
8,0,9,-6445.6339264461585,-6347.950269121499
8,0,10,-6455.3833294518645,-6352.558427004855
8,1,1,-6465.116984613952,-6413.712454182941
8,1,2,-6463.188559766474,-6406.643576292361
8,1,3,-6461.20205870922,-6399.516622192006
8,1,4,-6459.3791136378,-6392.5532240774855
8,1,5,-6457.355210747826,-6385.3888681444105
8,1,6,-6461.136465389754,-6384.029669743237
8,1,7,-6460.426216044235,-6378.178967354616
8,1,8,-6463.114704176314,-6375.727002443595
8,1,9,-6461.594036903616,-6369.065882127796
8,1,10,-6458.76993123937,-6361.101323420447
8,2,1,-6390.52048469607,-6339.123881336421
8,2,2,-6434.602205667116,-6378.065941971502
8,2,3,-6447.432322656566,-6385.756398624987
8,2,4,-6444.555689493705,-6377.740105126161
8,2,5,-6442.59988378414,-6370.644639080631
8,2,6,-6444.184481395698,-6367.089576356224
8,2,7,-6441.928697307565,-6359.694131932126
8,2,8,-6440.931400178159,-6353.557174466755
8,2,9,-6440.909090165356,-6348.395204117987
8,2,10,-6446.424495874831,-6348.770949491498
9,0,1,-6462.342019608774,-6400.647078140568
9,0,2,-6460.244222309084,-6393.408035718528
9,0,3,-6458.103774010842,-6386.1263422979355
9,0,4,-6462.555344911053,-6385.436668075796
9,0,5,-6451.583687420711,-6369.323765463103
9,0,6,-6445.448449556212,-6358.047282476254
9,0,7,-6448.527946954704,-6355.985534752395
9,0,8,-6445.415691245411,-6347.732033920752
9,0,9,-6443.059722980447,-6340.234820533437
9,0,10,-6457.37693617042,-6349.41078860106
9,1,1,-6463.332286888994,-6406.787303414881
9,1,2,-6461.299940174849,-6399.614503657635
9,1,3,-6459.282956700232,-6392.457067139917
9,1,4,-6460.182481857433,-6388.216139254017
9,1,5,-6455.396041610225,-6378.289245963708
9,1,6,-6461.331314856539,-6379.084066166921
9,1,7,-6459.48694825677,-6372.099246524051
9,1,8,-6464.237009940027,-6371.708855164206
9,1,9,-6461.027972851785,-6363.359365032863
9,1,10,-6455.132357241092,-6352.323296379069
9,2,1,-6393.769509248654,-6337.2332455530395
9,2,2,-6436.190873205668,-6374.514949174089
9,2,3,-6445.588607590641,-6378.773023223097
9,2,4,-6434.06028161736,-6362.105036913851
9,2,5,-6436.5468138497245,-6359.451908810251
9,2,6,-6445.46978492602,-6363.235219550581
9,2,7,-6428.93730949168,-6341.563083780276
9,2,8,-6440.021733914241,-6347.507847866872
9,2,9,-6439.682073203305,-6342.028526819971
9,2,10,-6444.666382804044,-6341.873176084745
10,0,1,-6460.039502490055,-6393.203315899499
10,0,2,-6458.678472768432,-6386.701041055525
10,0,3,-6456.585997979055,-6379.467321143798
10,0,4,-6461.86200769266,-6379.602085735052
10,0,5,-6451.82944619489,-6364.428279114932
10,0,6,-6443.02894381714,-6350.486531614832
10,0,7,-6446.172349381903,-6348.4886920572435
10,0,8,-6445.192662554238,-6342.367760107229
